feature,mean_abs_shap
eeg_EOGD_gamma_bas_bp_rel_mean,0.0004043259605483901
eeg_ratio_gamma_bas_over_beta_mean,0.00040302063314044857
eeg_RONF_delta_bp_abs_std,0.00040115894491823864
eeg_JAMBD_var_mean,0.00039980213018929705
eeg_ratio_theta_over_beta_std,0.00039839606792251025
eeg_T3-O1_spec_entropy_mean,0.0003974388985134872
eeg_T3-O1_gamma_bas_bp_rel_mean,0.00039681256556842426
eeg_ECG_delta_bp_abs_std,0.000396708839097638
eeg_T4-O2_linelen_mean,0.00039650349319860504
eeg_JAMBD_theta_bp_rel_mean,0.0003951909686018297
eeg_EOGG_theta_bp_rel_std,0.00039154932661609614
eeg_T3-O1_theta_bp_rel_mean,0.00039110165581938695
eeg_EOGG_gamma_haut_bp_abs_mean,0.00039071585065645405
eeg_T4-O2_rms_mean,0.00038822899774785624
eeg_JAMBG_beta_bp_abs_std,0.0003873704233673472
eeg_T3-O1_linelen_std,0.0003868399047945528
eeg_EMG2_mean_std,0.00038680007796829797
eeg_EMG1_skew_mean,0.00038540569953482456
eeg_ECG_var_std,0.0003845119739193802
eeg_EOGD_ptp_std,0.00038412921978045613
eeg_C4-A1_spec_centroid_mean,0.0003813280269149867
eeg_EMG2_beta_bp_abs_std,0.00038131421423468387
eeg_EMG2_theta_bp_rel_std,0.000377622453231411
eeg_Menton_delta_bp_abs_mean,0.0003773501067823964
eeg_Fp1-T3_gamma_haut_bp_abs_std,0.0003758340972393276
eeg_EMG1_gamma_bas_bp_rel_mean,0.00037467844389950687
eeg_EOGD_rms_std,0.00037466426211722216
eeg_JAMBD_delta_bp_abs_mean,0.0003740761581945596
eeg_T3-O1_gamma_haut_bp_abs_mean,0.00037321066394424844
eeg_C3-A1_alpha_bp_abs_std,0.0003710535727759312
eeg_EMG2_bandwidth_mean,0.0003690136599509713
eeg_Menton_skew_mean,0.0003677313809433586
eeg_Fp2-A1_gamma_bas_bp_abs_mean,0.00036752827038025155
eeg_T4-O2_ptp_std,0.0003662437617749219
eeg_T3-A1_bandwidth_mean,0.00036426155593090846
eeg_Fp1-A1_bandwidth_std,0.0003640983401848167
eeg_T3-O1_gamma_haut_bp_rel_std,0.00036311310476037483
eeg_T4-O2_mean_mean,0.0003628991453855082
eeg_Fp2-A1_kurt_mean,0.000362068917993189
eeg_T3-O1_beta_bp_rel_std,0.0003585031061188107
eeg_EMG2_spec_entropy_std,0.00035841221413558774
eeg_EMG1_zc_mean,0.0003580003972818982
eeg_ECG_gamma_bas_bp_rel_std,0.000357923084237593
eeg_Fp1-C3_var_mean,0.00035789957929976
eeg_T3-O1_theta_bp_abs_mean,0.00035741723829131085
eeg_EMG2_zc_mean,0.0003564732560085042
eeg_Fp1-A1_zc_std,0.00035571082667993297
eeg_Fp2-C4_spec_entropy_mean,0.0003556520824253827
eeg_EOGG_theta_bp_abs_mean,0.0003555957695933398
eeg_Fp2-T4_beta_bp_rel_std,0.000353638379395309
eeg_Fp1-A1_alpha_bp_abs_std,0.000352651639308605
eeg_T3-A1_gamma_bas_bp_abs_std,0.00035182033144126075
eeg_Fp1-A1_gamma_haut_bp_abs_mean,0.00034979941045362316
