band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
theta,T3-O1,rel,Narco,TCSPi,11,38,177.0,0.4503730174053514,0.15311004784688997,1.0,
theta,T3-O1,rel,SYN,TCSPi,19,38,286.0,0.20725736562989627,0.20775623268698062,1.0,
theta,T3-O1,abs,EAI,Narco,7,10,20.0,0.16125051419169067,0.4285714285714286,0.6450020567667627,
theta,T3-O1,abs,EAI,SYN,7,18,45.0,0.2971291866028708,0.2857142857142857,0.8913875598086124,
theta,T3-O1,abs,EAI,TCSPi,7,33,101.0,0.625563250795449,0.1255411255411255,1.0,
theta,T3-O1,abs,Narco,SYN,10,18,97.0,0.7553056597956419,-0.07777777777777772,1.0,
theta,T3-O1,abs,Narco,TCSPi,10,33,231.0,0.059701369903290474,-0.3999999999999999,0.35820821941974285,
theta,T3-O1,abs,SYN,TCSPi,18,33,377.0,0.11711986924457217,-0.26936026936026947,0.5855993462228608,
theta,Fp2-T4,rel,EAI,Narco,7,11,36.0,0.8601055806938159,0.06493506493506496,1.0,
theta,Fp2-T4,rel,EAI,SYN,7,18,77.0,0.42287497399625545,-0.22222222222222232,1.0,
theta,Fp2-T4,rel,EAI,TCSPi,7,39,135.0,0.9761468167581759,0.01098901098901095,1.0,
theta,Fp2-T4,rel,Narco,SYN,11,18,147.0,0.03276376857857748,-0.48484848484848486,0.19658261147146489,
theta,Fp2-T4,rel,Narco,TCSPi,11,39,246.0,0.467836759875388,-0.14685314685314688,1.0,
theta,Fp2-T4,rel,SYN,TCSPi,18,39,258.0,0.11228691391542045,0.2649572649572649,0.5614345695771022,
theta,Fp2-T4,abs,EAI,Narco,6,11,6.0,0.004848093083387201,0.8181818181818181,0.029088558500323207,*
theta,Fp2-T4,abs,EAI,SYN,6,18,26.0,0.06576718476031977,0.5185185185185186,0.3288359238015989,
theta,Fp2-T4,abs,EAI,TCSPi,6,36,60.0,0.08806840385787752,0.4444444444444444,0.3522736154315101,
theta,Fp2-T4,abs,Narco,SYN,11,18,123.0,0.2908556336911423,-0.24242424242424243,0.5817112673822846,
theta,Fp2-T4,abs,Narco,TCSPi,11,36,265.0,0.0947462978012844,-0.33838383838383845,0.3522736154315101,
theta,Fp2-T4,abs,SYN,TCSPi,18,36,345.0,0.7067960031547897,-0.06481481481481488,0.7067960031547897,
theta,Fp2-C4,rel,EAI,Narco,7,10,16.0,0.0702385849444673,0.5428571428571429,0.2809543397778692,
theta,Fp2-C4,rel,EAI,SYN,7,18,68.0,0.7903016434366548,-0.0793650793650793,1.0,
theta,Fp2-C4,rel,EAI,TCSPi,7,39,131.0,0.8811401020986954,0.04029304029304026,1.0,
theta,Fp2-C4,rel,Narco,SYN,10,18,166.0,0.00029466231051001256,-0.8444444444444446,0.0017679738630600754,**
theta,Fp2-C4,rel,Narco,TCSPi,10,39,301.0,0.00886718098366831,-0.5435897435897437,0.04433590491834155,*
theta,Fp2-C4,rel,SYN,TCSPi,18,39,264.0,0.13754588568297146,0.24786324786324787,0.4126376570489144,
theta,Fp2-C4,abs,EAI,Narco,5,9,14.0,0.2977022977022977,0.37777777777777777,1.0,
theta,Fp2-C4,abs,EAI,SYN,5,18,41.0,0.8006181461559035,0.0888888888888889,1.0,
theta,Fp2-C4,abs,EAI,TCSPi,5,35,95.0,0.7813765182186235,-0.08571428571428563,1.0,
theta,Fp2-C4,abs,Narco,SYN,9,18,99.0,0.3680655063054846,-0.22222222222222232,1.0,
