band,channel,value,group,mean,sd,n
beta,Fp1-A1,abs,Narco,1.6087872697718045e-09,4.5899171238108176e-09,11
beta,Fp1-A1,abs,SYN,1.6846703705709932e-09,6.586924626803704e-09,19
beta,Fp1-A1,abs,TCSPi,1.0792975298607147e-10,2.1675362662751492e-10,39
beta,Fp2-A1,rel,EAI,0.12428297507110456,0.037817447405888126,7
beta,Fp2-A1,rel,Narco,0.08964089374613075,0.04897158307992829,11
beta,Fp2-A1,rel,SYN,0.11025241487056865,0.05176256025491828,19
beta,Fp2-A1,rel,TCSPi,0.11404653961866713,0.03873266737589202,39
beta,Fp2-A1,abs,EAI,7.035258197778256e-11,3.3829703640665884e-11,7
beta,Fp2-A1,abs,Narco,1.6184326412792035e-09,4.5874696127844395e-09,11
beta,Fp2-A1,abs,SYN,1.649916150289199e-09,6.59293477024513e-09,19
beta,Fp2-A1,abs,TCSPi,7.784355105444111e-11,4.828009825083699e-11,39
beta,C3-A1,rel,EAI,0.1497998332306548,0.04461709956882397,7
beta,C3-A1,rel,Narco,0.09338213679693946,0.04694752812360609,11
beta,C3-A1,rel,SYN,0.1438682193046236,0.072961115733928,19
beta,C3-A1,rel,TCSPi,0.13552618161327618,0.03846836963181654,39
beta,C3-A1,abs,EAI,5.4702536470936036e-11,3.3304899987706e-11,7
beta,C3-A1,abs,Narco,1.6092542079903493e-09,4.5795047072598114e-09,11
beta,C3-A1,abs,SYN,1.6269836896102513e-09,6.5929151724942025e-09,19
beta,C3-A1,abs,TCSPi,6.606507056292075e-11,4.800178290112067e-11,39
beta,T3-A1,rel,EAI,0.13492720942309924,0.04520511183731534,7
beta,T3-A1,rel,Narco,0.10886506750451086,0.05861442675057891,11
beta,T3-A1,rel,SYN,0.1320629479250451,0.060685580576925385,19
beta,T3-A1,rel,TCSPi,0.11889646744920733,0.030250981699000434,39
beta,T3-A1,abs,EAI,2.8360138082556398e-11,1.9726429391026156e-11,7
beta,T3-A1,abs,Narco,1.6049894182185656e-09,4.5736233572073595e-09,11
beta,T3-A1,abs,SYN,1.7768141508694662e-09,6.590498573650283e-09,19
beta,T3-A1,abs,TCSPi,9.142122489115124e-10,5.410868909735488e-09,39
beta,T4-A1,rel,EAI,0.15922373851327346,0.05004995952860005,7
beta,T4-A1,rel,Narco,0.11848796610215079,0.06002422978970428,11
beta,T4-A1,rel,SYN,0.13488096889830672,0.058155892703369724,19
beta,T4-A1,rel,TCSPi,0.13368206628514562,0.04057508883472889,39
beta,T4-A1,abs,EAI,7.827346716512322e-11,3.4894347833542714e-11,7
beta,T4-A1,abs,Narco,1.627515686270444e-09,4.592047071589797e-09,11
beta,T4-A1,abs,SYN,1.6366796021740708e-09,6.604682172507551e-09,19
beta,T4-A1,abs,TCSPi,6.73466222512459e-11,4.970473903334577e-11,39
beta,C4-A1,rel,EAI,0.1540137826133992,0.035216445404767704,7
beta,C4-A1,rel,Narco,0.09552347478395583,0.05016085904625352,11
beta,C4-A1,rel,SYN,0.13462970249050063,0.05826865327101954,19
beta,C4-A1,rel,TCSPi,0.1339786142972086,0.038234963057711104,39
beta,C4-A1,abs,EAI,7.642957423177265e-11,3.853981321324986e-11,7
beta,C4-A1,abs,Narco,1.6839619354289927e-09,4.565511739198323e-09,11
beta,C4-A1,abs,SYN,1.6384777568156182e-09,6.6010525960714844e-09,19
beta,C4-A1,abs,TCSPi,7.852197615513973e-11,5.080690940709881e-11,39
gamma_bas,Fp1-T3,rel,EAI,0.04601395090823549,0.04753173418861671,7
gamma_bas,Fp1-T3,rel,Narco,0.02217854144020806,0.005994491280496589,11
gamma_bas,Fp1-T3,rel,SYN,0.0571581159798509,0.03693845999574451,19
gamma_bas,Fp1-T3,rel,TCSPi,0.03125715745233736,0.013776321070605899,39
gamma_bas,Fp1-T3,abs,EAI,2.126076031046263e-11,2.5178376756423896e-11,7
gamma_bas,Fp1-T3,abs,Narco,7.422105784162161e-11,1.6981595677468675e-10,11
gamma_bas,Fp1-T3,abs,SYN,3.2658544496145554e-10,1.087303679091702e-09,19
gamma_bas,Fp1-T3,abs,TCSPi,2.536170120815259e-10,1.408998222975295e-09,39
gamma_bas,Fp1-C3,rel,EAI,0.05015536932720283,0.06098597479568067,7
gamma_bas,Fp1-C3,rel,Narco,0.0197202206980418,0.006447228094136687,11
gamma_bas,Fp1-C3,rel,SYN,0.044287992099255595,0.02912989027735577,19
gamma_bas,Fp1-C3,rel,TCSPi,0.02984164894358712,0.0137291134418836,39
gamma_bas,Fp1-C3,abs,EAI,2.9180463799474197e-11,5.0180456650520554e-11,7
gamma_bas,Fp1-C3,abs,Narco,3.0472130350443934e-11,4.313803432114977e-11,11
gamma_bas,Fp1-C3,abs,SYN,2.7825537830032884e-10,1.0180006810523077e-09,19
gamma_bas,Fp1-C3,abs,TCSPi,2.282466551216016e-11,3.838484827622215e-11,39
gamma_bas,T3-O1,rel,EAI,0.026113735395847187,0.012555738007596285,7
gamma_bas,T3-O1,rel,Narco,0.01533738915612949,0.005785941166840179,11
gamma_bas,T3-O1,rel,SYN,0.04119996735762719,0.02719051562255119,19
gamma_bas,T3-O1,rel,TCSPi,0.022110211784384482,0.010799657962754875,39
gamma_bas,T3-O1,abs,EAI,1.3621356633120066e-11,1.5961266557515338e-11,7
gamma_bas,T3-O1,abs,Narco,1.1812968931585548e-10,2.514278239854136e-10,11
gamma_bas,T3-O1,abs,SYN,5.42132982355172e-11,1.1942852829481787e-10,19
gamma_bas,T3-O1,abs,TCSPi,2.4431326592171244e-10,1.4112804339253254e-09,39
gamma_bas,Fp2-T4,rel,EAI,0.030380623932060927,0.010944355877669114,7
gamma_bas,Fp2-T4,rel,Narco,0.020016535955814846,0.005546206693293214,11
gamma_bas,Fp2-T4,rel,SYN,0.05560266536876895,0.03509208554668678,19
gamma_bas,Fp2-T4,rel,TCSPi,0.0288904468309634,0.014203602338982739,39
gamma_bas,Fp2-T4,abs,EAI,3.3571951265183586e-11,5.7960542086832854e-11,7
gamma_bas,Fp2-T4,abs,Narco,3.742667555171266e-11,5.498824611234167e-11,11
gamma_bas,Fp2-T4,abs,SYN,6.262347456974046e-11,9.512395383760966e-11,19
gamma_bas,Fp2-T4,abs,TCSPi,1.9703175389305396e-11,2.404992115748569e-11,39
gamma_bas,Fp2-C4,rel,EAI,0.05860325206134411,0.07851302290668284,7
gamma_bas,Fp2-C4,rel,Narco,0.017409676476573026,0.004170801371109811,11
gamma_bas,Fp2-C4,rel,SYN,0.04392528614142175,0.033051605091026254,19
gamma_bas,Fp2-C4,rel,TCSPi,0.02857877288237839,0.013840797022531923,39
gamma_bas,Fp2-C4,abs,EAI,2.667306779135933e-11,3.403800016372391e-11,7
gamma_bas,Fp2-C4,abs,Narco,7.414204749945111e-11,1.4510963816171682e-10,11
gamma_bas,Fp2-C4,abs,SYN,4.2541973250785566e-11,5.823212353008231e-11,19
gamma_bas,Fp2-C4,abs,TCSPi,1.69780621350974e-11,2.0196915702012823e-11,39
gamma_bas,T4-O2,rel,EAI,0.04718522903417932,0.072083168387095,7
